ID,错误描述,扣除分数
ID,Title,Score
10101,使用错误工具,0.2
11101,未使用专用工具拆卸燃油导轨和喷油器总成,0.2
20102,拆卸螺栓未按交错的方式进行,0.2
20301,拆卸扭转减震器前未安装专用工具,0.2
20403,螺栓未拆完就用一字刀撬动,0.5
20503,零件未拆卸完就直接取链条,0.5
20601,未安装凸轮轴锁止工具,1
20603,只拆卸了一个凸轮轴执行器,1
30102,未按规定的方法拆卸螺栓,2
30301,未按顺序摆放,0.5
40101,未预松螺栓直接拆卸,2
40102,未重复多次拆卸螺栓直接松开,2
40104,未取下气缸垫,1
50102,未取下机油泵传动链,1
60101,未对活塞连顶部做记号,1
60103,连杆盖未与活塞连杆配对,1
60104,未摇转曲轴到对应的位置,1
70101,未交错拆卸螺栓,1
70201,两种螺栓混合拆卸,2
70202,拆卸螺栓2未按顺序拆卸,1
70301,未拆卸上轴瓦直接拿曲轴,1
70302,未从缸体上取出下轴瓦,1
