"id","步骤描述（目前不做手套）","步骤类型 （暂时不配表，与 RecordStepType 对应 更换的记录可以配置成安装类型，所有安装的记录都是安装上一个未损坏的物品","步骤参数（逗号分割）",
"ID","Title","Type","Params",
1,"机油排放",1,,
2,"机油滤清器的拆卸",1,,
,,1,,
3,"涡轮增压器的拆卸",1,,
